,0,1
0,int,156
1,Lines,17
2,float,26
3,str,80
4,list,67
5,bool,13
6,Reversible,1
7,tuple,27
8,BinRanges,1
9,Sequence,7
10,Measurement,2
11,Range,1
12,Collection,3
13,Entry,7
14,LinkedList,3
15,Node,10
16,Iterator,2
17,Counter,1
18,set,11
19,Specs,1
20,Stats,1
21,Position,2
22,Pattern,1
23,AnyStr,1
24,Block,3
25,MutableMapping,5
26,Grading,5
27,Grade,1
28,Decimal,1
29,TokensWoWhitespace,5
30,Expr,9
31,Identifier,8
32,Mapping,5
33,Token,8
34,Statement,1
35,Program,8
36,BinaryOperation,1
37,NoneType,16
38,Call,1
39,Const,1
40,Load,1
41,Store,1
42,UnaryOperation,1
43,Instruction,5
44,WordOccurrence,3
45,HistogramOfDeltas,2
46,Layout,7
47,ShipPosition,3
48,Memory,2
49,Mask,1
50,Rule,5
51,RuleParsing,1
52,Activity,5
53,Point,4
54,Union,6
55,ValidTileText,1
56,Tile,6
57,dict,10
58,Image,2
59,Ingredient,2
60,IngredientLine,3
61,Deck,1
62,Split,4
63,CupCircle,4
64,Cell,5
65,Direction,5
66,InputLine,1
