module,function_name,IC2_runs,IC2_assume_free,IC2_filter_free,IC2_nb_samples,IC2_failed_health_check,IC2_violation_error,IC2_exceptions
python_by_contract_corpus.ethz_eprog_2019.exercise_11.problem_01,critical,False,False,False,0,False,False,<class 'TypeError'> :     Cannot hash a signaling NaN value
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,_parse_atom,False,False,False,0,False,False,<class 'AttributeError'> :     'str' object has no attribute 'kind'
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,_parse_expr,False,False,False,0,False,False,<class 'AttributeError'> :     'str' object has no attribute 'kind'
python_by_contract_corpus.ethz_eprog_2019.exercise_12.problem_01,parse_program,False,False,False,0,False,False,<class 'AssertionError'> :     
python_by_contract_corpus.aoc2020.day_11_seating_system,apply,False,False,False,0,False,False,"<class 'TypeError'> :     File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_11_seating_system.py, line 61 in Layout:
The argument(s) of the contract condition have not been set: ['table']. Does the original function define them? Did you supply them in the call?"
python_by_contract_corpus.aoc2020.day_11_seating_system,apply_until_stable,False,False,False,0,False,False,"<class 'TypeError'> :     File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_11_seating_system.py, line 61 in Layout:
The argument(s) of the contract condition have not been set: ['table']. Does the original function define them? Did you supply them in the call?"
python_by_contract_corpus.aoc2020.day_11_seating_system,count_occupied,False,False,False,0,False,False,"<class 'TypeError'> :     File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_11_seating_system.py, line 61 in Layout:
The argument(s) of the contract condition have not been set: ['table']. Does the original function define them? Did you supply them in the call?"
python_by_contract_corpus.aoc2020.day_11_seating_system,repr_layout,False,False,False,0,False,False,"<class 'TypeError'> :     File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_11_seating_system.py, line 61 in Layout:
The argument(s) of the contract condition have not been set: ['table']. Does the original function define them? Did you supply them in the call?"
python_by_contract_corpus.aoc2020.day_13_shuttle_search,parse_input,False,False,False,0,False,False,<class 'IndexError'> :     list index out of range
python_by_contract_corpus.aoc2020.day_19_monster_messages,interpret_rule_0,False,False,False,0,False,False,<class 'NotImplementedError'> :     <python_by_contract_corpus.aoc2020.day_19_monster_messages.Node object at 0x7fc6e8da0d30>
python_by_contract_corpus.aoc2020.day_19_monster_messages,parse_rule,False,False,False,0,False,False,"<class 'black.parsing.InvalidInput'> :     Cannot parse: 3:101:     line = draw(hypothesis.strategies.from_regex(regex=r""^(?P<identifier>0|[1-9][0-9]*): (?P<body>""([^""]*)""|(0|[1-9][0-9]*)( (0|[1-9][0-9]*))*( \| (0|[1-9][0-9]*)( (0|[1-9][0-9]*))*)*)\Z""))"
python_by_contract_corpus.aoc2020.day_20_jurassic_jigsaw,transform_tile,False,False,False,0,False,False,<class 'IndexError'> :     string index out of range
python_by_contract_corpus.aoc2020.day_23_crab_cups,crab_move,False,False,False,0,False,False,<class 'hypothesis.errors.Unsatisfiable'> :     Unable to satisfy assumptions of hypothesis test_crab_move.
